상세페이지URL,로고URL,상호명,별점,최소주문금액,소요시간,리뷰수
https://www.yogiyo.co.kr/mobile/#/399376/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191210_399376_아빠맘치킨-마포점_대표사진_200x200_CKGle2J.jpg,아빠맘치킨-마포점,★ 4.6,"15,000원 이상 배달",50~60분,5
https://www.yogiyo.co.kr/mobile/#/416540/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20200203_416540_마포닭강정_대표사진_300x300.jpg,마포닭강정,★ 4.8,"6,500원 이상 배달",,5
https://www.yogiyo.co.kr/mobile/#/314160/,https://www.yogiyo.co.kr/media/restaurant_logos/파자마금룡치킨앤떡볶이_20190409_가맹로고이미지약정서_crop_200x200.jpg,파자마금룡치킨앤떡볶이,★ 3.2,"16,000원 이상 배달",,5
https://www.yogiyo.co.kr/mobile/#/382765/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191111_382765_더쉐프파스타_대표사진_200x200.jpg,더쉐프파스타,★ 4.0,"12,000원 이상 배달",50~60분,4
https://www.yogiyo.co.kr/mobile/#/367180/,https://www.yogiyo.co.kr/media/restaurant_logos/국물닭발_20141121_요기요자체제작_crop_200x200_CTa98Sl.jpg,서울에서손꼽히는3대연남닭발,★ 4.0,"20,000원 이상 배달",40~50분,4
https://www.yogiyo.co.kr/mobile/#/417561/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20200130_417561_와우골드킹365_대표사진_300x300.jpg,와우골드킹365,★ 5.0,"15,000원 이상 배달",80~90분,4
https://www.yogiyo.co.kr/mobile/#/357956/,https://www.yogiyo.co.kr/media/restaurant_logos/바베큐양념치킨01_20131128_FoodAD_crop_200x200_GQnGMzJ.jpg,csc숯불바베큐-망원점,★ 3.8,"17,000원 이상 배달",,4
https://www.yogiyo.co.kr/mobile/#/382029/,https://www.yogiyo.co.kr/media/restaurant_logos/스탁_20190801_DHK촬영_한마리후라이드치킨_Side01_300x300_NLm7roO.jpg,철인7호-홍대점,★ 4.0,"14,000원 이상 배달",25~35분,3
https://www.yogiyo.co.kr/mobile/#/407515/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191227_407515_The청춘키친-홍대점_대표사진_300x300.jpg,The청춘키친-홍대점,★ 4.7,"9,000원 이상 배달",50~60분,3
https://www.yogiyo.co.kr/mobile/#/407517/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191227_407517_강정시키면통닭까지-홍대점_대표사진_300x300.jpg,강정시키면통닭까지-홍대점,★ 5.0,"9,000원 이상 배달",50~60분,3
https://www.yogiyo.co.kr/mobile/#/348015/,https://www.yogiyo.co.kr/media/restaurant_logos/콤비네이션피자03_20131128_FoodAD_crop_200x200_u3DRTR8.jpg,김수일피자치킨,★ 5.0,"14,900원 이상 배달",35~45분,3
https://www.yogiyo.co.kr/mobile/#/385930/,https://www.yogiyo.co.kr/media/franchise_logos/위드치킨_20191104_Franchise_crop_200x200.jpg,위드치킨-신수점,★ 5.0,"16,000원 이상 배달",50~60분,3
https://www.yogiyo.co.kr/mobile/#/361639/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20190903_361639_치폴레옹-연대신촌점_대표사진_200x200.jpg,치폴레옹-연대신촌점,★ 5.0,"10,000원 이상 배달",50~60분,3
https://www.yogiyo.co.kr/mobile/#/407338/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20200106_407338_공덕옛날통닭_대표사진_300x300.jpg,공덕옛날통닭,★ 4.7,"15,000원 이상 배달",50~60분,3
https://www.yogiyo.co.kr/mobile/#/382762/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191111_382762_더쉐프_대표사진_200x200.jpg,더쉐프,★ 3.0,"12,000원 이상 배달",45~55분,2
https://www.yogiyo.co.kr/mobile/#/385642/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191114_385642_샌드럴파크-합정점_대표사진_200x200.jpg,샌드럴파크-합정점,★ 5.0,"9,000원 이상 배달",40~50분,2
https://www.yogiyo.co.kr/mobile/#/416541/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20200203_416541_태극닭강정_대표사진_300x300.jpg,태극닭강정,★ 5.0,"6,500원 이상 배달",30~40분,2
https://www.yogiyo.co.kr/mobile/#/410728/,https://www.yogiyo.co.kr/media/franchise_logos/페리카나_20190430_Franchise_crop_200x200.png,페리카나-홍익대점,★ 5.0,"16,000원 이상 배달",40~50분,1
https://www.yogiyo.co.kr/mobile/#/374682/,https://www.yogiyo.co.kr/media/restaurant_logos/스탁_20190801_DHK촬영_보쌈_Top01_300x300_sYwUNo8.jpg,홍대자연보쌈세트,★ 5.0,"17,000원 이상 배달",20~30분,1
https://www.yogiyo.co.kr/mobile/#/378514/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20200123_378514_봉구통닭n떡볶이-망원점_대표사진_300x300.jpg,봉구통닭&떡볶이-망원점,★ 5.0,"14,900원 이상 배달",50~60분,1
https://www.yogiyo.co.kr/mobile/#/394203/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191129_394203_닭스타-신촌직영점_대표사진_200x200.jpg,닭스타-신촌직영점,★ 5.0,"15,000원 이상 배달",45~55분,1
https://www.yogiyo.co.kr/mobile/#/367181/,https://www.yogiyo.co.kr/media/restaurant_logos/국물닭발_20141121_요기요자체제작_crop_200x200_CTa98Sl.jpg,직장인들이가장선호하는연남불닭발,★ 5.0,"20,000원 이상 배달",40~50분,1
https://www.yogiyo.co.kr/mobile/#/375052/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191014_375052_호또치킨-망원점_대표사진_200x200.jpg,호또치킨-망원점,★ 5.0,"17,000원 이상 배달",40~50분,1
https://www.yogiyo.co.kr/mobile/#/398857/,https://www.yogiyo.co.kr/media/restaurant_logos/스탁_20190809_DHK촬영_닭강정_Side02_300x300_eMXwR24.jpg,사러가닭강정-연희점,★ 5.0,"13,000원 이상 배달",40~50분,1
https://www.yogiyo.co.kr/mobile/#/398859/,https://www.yogiyo.co.kr/media/restaurant_logos/스탁_20190809_DHK촬영_닭강정_Side01_300x300_ZLP3PJR.jpg,연희닭강정,★ 5.0,"13,000원 이상 배달",40~50분,1
https://www.yogiyo.co.kr/mobile/#/378496/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20200122_378496_봉구통닭-망원점_대표사진_300x300.jpg,봉구통닭-망원점,★ 5.0,"14,900원 이상 배달",45~55분,1
https://www.yogiyo.co.kr/mobile/#/399379/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191210_399379_한신떡볶이-마포점_대표사진_200x200_BflmKVF.jpg,한신떡볶이-마포점,★ 1.0,"15,000원 이상 배달",40~50분,1
https://www.yogiyo.co.kr/mobile/#/289029/,https://www.yogiyo.co.kr/media/restaurant_logos/바베큐치킨01_20131128_FoodAD_crop_200x200_SRieizp.jpg,텍사스치킨,★ 5.0,"18,000원 이상 배달",,1
https://www.yogiyo.co.kr/mobile/#/418413/,https://www.yogiyo.co.kr/media/restaurant_logos/스탁_20190801_DHK촬영_닭볶음탕_Top01_300x300_rK4mhL8.jpg,맛부심닭도리탕,,"24,000원 이상 배달",,0
https://www.yogiyo.co.kr/mobile/#/382777/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191111_382777_맛없으면환불해주는파스타_대표사진_200x200.jpg,맛없으면환불해주는파스타,,"12,000원 이상 배달",50~60분,0
https://www.yogiyo.co.kr/mobile/#/382785/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191111_382785_1인혼파스타_대표사진_200x200.jpg,1인혼파스타,,"12,000원 이상 배달",45~55분,0
https://www.yogiyo.co.kr/mobile/#/420111/,https://www.yogiyo.co.kr/media/restaurant_logos/스탁_20191029_DHK촬영_큐브스테이크_Side03_300x300_gZPFNyg.jpg,고메스테이크-서교점,,"15,000원 이상 배달",,0
https://www.yogiyo.co.kr/mobile/#/420112/,https://www.yogiyo.co.kr/media/restaurant_logos/스탁_20191025_DHK촬영합성_소불고기덮밥-제육덮밥_Top01_300x300_flSpJ5E.jpg,한끼맛담-서교점,,"10,000원 이상 배달",,0
https://www.yogiyo.co.kr/mobile/#/373804/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191014_373800_곱깨비-연남본점_대표사진_200x200.jpg,곱깨비직화삼겹-가좌점,,"18,000원 이상 배달",,0
https://www.yogiyo.co.kr/mobile/#/374679/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191015_374679_홍대자연족발_대표사진_200x200.jpg,홍대자연족발,,"17,000원 이상 배달",,0
